index,date,p1,p2,p3,p4,p5,w1,w2,w3,n1,n2,n3,n4,n5,n6,b,nn1,nn2,nn3,nn4,nn5,nn6,
1010,2002.04.09,8,66,2781,136828,2278193,3119380079,63017780,1495568,9,12,15,25,34,36,3
1009,2022.04.02,15,69,2632,133476,2232525,1702462825 ,61683436 ,1617081 ,15,23,29,34,40,44,20,15,8,6,5,6,4, 
1008,2022.03.26,11,97,2826,141072,2311009,2267377910 ,42854222 ,1470935 ,9,11,30,31,41,44,33,9,2,19,1,10,3,
1007,2022.03.19,9,70,2844,137134,2256573,2718786375 ,58259709 ,1433960 ,8,11,16,19,21,25,40,8,3,5,3,2,4,
1006,2022.03.12,9,65,2487,131234,2288458,2855602125 ,65898511 ,1722318 ,8,11,15,16,17,37,36,8,3,4,1,1,20,
1005,2022.03.05,12,84,2798,143067,2349017,2061199344 ,49076175 ,1473338 ,8,13,18,24,27,29,17,8,5,5,6,3,2,
1004,2022.02.26,10,68,2785,140047,2340772,2576251913 ,63143430 ,1541743 ,7,15,30,37,39,44,18,7,8,15,7,2,5,
1003,2022.02.19,14,66,2649,133896,2247475,1811116822 ,64029383 ,1595297 ,1,4,29,39,43,45,31,1,3,25,10,4,2,
1002,2022.02.12,8,85,3193,155418,2436676,3088449563 ,48446268 ,1289676 ,17,25,33,35,38,45,15,17,8,8,2,3,7,
1001,2022.02.05,12,66,2761,140255,2346904,2077279594 ,62947867 ,1504730 ,6,10,12,14,20,42,15,6,4,2,2,6,22,
1000,2022.01.29,22,109,4018,180052,2747686,1246819620 ,41941945 ,1137798 ,2,8,19,22,32,42,39,2,6,11,3,10,10,
999,2022.01.22,16,67,2943,143217,2369326,1513274790 ,60229843 ,1371186 ,1,3,9,14,18,28,34,1,2,6,5,4,10,
998,2022.01.15,12,53,2648,129576,2227628,2076499657 ,78358478 ,1568354 ,13,17,18,20,42,45,41,13,4,1,2,22,3,
997,2022.01.08,19,85,3692,155887,2331995,1253749560 ,46708317 ,1075354 ,4,7,14,16,24,44,20,4,3,7,2,8,20,
996,2022.01.01,18,86,3313,155856,2546181,1491185771 ,52018109 ,1350305 ,6,11,15,24,32,39,28,6,5,4,9,8,7,
995,2021.12.25,7,69,2793,138372,2269218,3447271875 ,58287206 ,1439964 ,1,4,13,29,38,39,7,1,3,9,16,9,1,
994,2021.12.18,12,70,2803,137937,2216661,1861582063 ,53188059 ,1328279 ,1,3,8,24,27,35,28,1,2,5,16,3,8,
993,2021.12.11,6,70,2732,132583,2220620,3991197063 ,57017101 ,1460907 ,6,14,16,18,24,42,44,6,8,2,2,6,18,
992,2021.12.04,12,58,2373,124311,2105282,1986955563 ,68515710 ,1674636 ,12,20,26,33,44,45,24,12,8,6,7,11,1,
991,2021.11.27,8,110,2969,138068,2226394,2904166032 ,35202013 ,1304218 ,13,18,25,31,33,44,38,13,5,7,6,2,11,
990,2021.11.20,14,56,2858,129113,2169219,1740095277 ,72503970 ,1420652 ,2,4,25,26,36,37,28,2,2,21,1,10,1,
989,2021.11.13,4,63,2444,127891,2158436,5826768563 ,61658927 ,1589408 ,17,18,21,27,29,33,26,17,1,3,6,2,4,
988,2021.11.06,9,61,2663,129322,2139025,2678489375 ,65864493 ,1508725 ,2,13,20,30,31,41,27,2,11,7,10,1,10,
987,2021.10.30,10,73,2968,140004,2283682,2378711625 ,54308485 ,1335755 ,2,4,15,23,29,38,7,2,2,11,8,6,9,
986,2021.10.23,10,70,2793,133889,2231167,2375275125 ,56554170 ,1417398 ,7,10,16,28,41,42,40,7,3,6,12,13,1,
985,2021.10.16,10,62,2581,126523,2123240,2434752975 ,65450349 ,1572229 ,17,21,23,30,34,44,19,17,4,2,7,4,10,
984,2021.10.09,7,64,2596,128129,2149335,3453006268 ,62945427 ,1551814 ,3,10,23,35,36,37,18,3,7,13,12,1,1,
983,2021.10.02,10,78,2640,131780,2196308,2503422225 ,53491928 ,1580444 ,13,23,26,31,35,43,15,13,10,3,5,4,8,
982,2021.09.25,8,81,2931,139208,2291933,3023630672 ,49771699 ,1375472 ,5,7,13,20,21,44,33,5,2,6,7,1,23,
981,2021.09.18,13,65,2824,136630,2289650,1992863193 ,66428774 ,1528991 ,27,36,37,41,43,45,32,27,9,1,4,2,2,
980,2021.09.11,7,70,2819,135751,2237534,3409443215 ,56824054 ,1411027 ,3,13,16,23,24,35,14,3,10,3,7,1,11,
979,2021.09.04,14,79,3414,154980,2403760,1606400518 ,47446429 ,1097911 ,7,11,16,21,27,33,24,7,4,5,5,6,6,
978,2021.08.28,10,70,2826,133915,2217326,2373391388 ,56509319 ,1399736 ,1,7,15,32,34,42,8,1,6,8,17,2,8,
977,2021.08.21,14,82,2474,125781,2097459,1669905911 ,47517648 ,1574959 ,2,9,10,14,22,44,16,2,7,1,4,8,22,
976,2021.08.14,7,69,3085,142375,2270249,3243867215 ,54847997 ,1226747 ,4,12,14,25,35,37,2,4,8,2,11,10,2,
975,2021.08.07,9,61,2828,135604,2212347,2440410375 ,60010092 ,1294419 ,7,8,9,17,22,24,5,7,1,1,8,5,2,
974,2021.07.31,17,66,2636,129473,2149319,1317034523 ,56539361 ,1415629 ,1,2,11,16,39,44,32,1,1,9,5,23,5,
